freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.207e+00,3.046e+02,4.432e+01,3.561e+02
1.5,1.754e+01,1.844e+02,4.897e+01,2.509e+02
3.0,1.826e+01,2.973e+01,3.720e+01,8.519e+01
4.5,2.055e+01,3.124e+02,5.004e+01,3.830e+02
6.0,2.604e+01,1.255e+03,6.797e+01,1.349e+03
7.5,3.596e+01,2.354e+03,8.351e+01,2.474e+03
9.0,3.636e+01,3.894e+03,7.037e+01,4.001e+03
10.6,3.583e+01,6.189e+03,7.343e+01,6.298e+03
12.1,5.241e+01,9.623e+03,2.132e+02,9.889e+03
13.6,8.700e+01,1.191e+04,4.148e+02,1.242e+04
15.1,9.996e+01,1.538e+04,3.736e+02,1.585e+04
16.6,1.543e+02,2.558e+04,2.744e+02,2.601e+04
18.1,2.669e+02,3.381e+04,2.095e+02,3.429e+04
19.6,3.493e+02,3.673e+04,1.372e+02,3.721e+04
21.1,2.779e+02,7.531e+04,2.628e+02,7.585e+04
22.6,6.594e+02,2.302e+05,2.658e+03,2.335e+05
24.1,1.220e+03,3.197e+05,1.132e+04,3.323e+05
25.6,1.302e+03,2.211e+05,1.650e+04,2.390e+05
27.1,1.698e+03,1.626e+05,1.145e+04,1.758e+05
28.6,2.857e+03,1.862e+05,4.270e+03,1.934e+05
30.2,3.807e+03,1.959e+05,1.232e+03,2.009e+05
31.7,3.857e+03,1.743e+05,2.094e+03,1.802e+05
33.2,3.642e+03,1.450e+05,4.559e+03,1.532e+05
34.7,3.405e+03,1.181e+05,7.414e+03,1.289e+05
36.2,3.013e+03,9.543e+04,1.169e+04,1.101e+05
37.7,2.392e+03,7.626e+04,1.491e+04,9.357e+04
39.2,2.067e+03,6.230e+04,1.644e+04,8.080e+04
40.7,2.024e+03,5.220e+04,1.984e+04,7.406e+04
42.2,2.054e+03,4.392e+04,2.427e+04,7.025e+04
43.7,2.039e+03,3.702e+04,2.948e+04,6.855e+04
45.2,2.044e+03,3.194e+04,3.407e+04,6.805e+04
46.7,1.977e+03,2.907e+04,3.724e+04,6.828e+04
48.2,2.926e+03,2.657e+04,5.112e+04,8.061e+04
49.7,6.211e+03,2.329e+04,8.879e+04,1.183e+05
51.3,7.461e+03,2.022e+04,1.241e+05,1.518e+05
52.8,3.656e+03,1.843e+04,1.090e+05,1.311e+05
54.3,1.199e+03,1.675e+04,6.433e+04,8.228e+04
55.8,8.178e+02,1.542e+04,3.469e+04,5.092e+04
57.3,7.501e+02,1.436e+04,2.635e+04,4.146e+04
58.8,1.039e+03,1.321e+04,3.021e+04,4.446e+04
60.3,1.106e+03,1.157e+04,3.428e+04,4.696e+04
61.8,1.170e+03,1.005e+04,2.976e+04,4.098e+04
63.3,1.948e+03,8.722e+03,3.138e+04,4.205e+04
64.8,4.047e+03,7.182e+03,3.317e+04,4.440e+04
66.3,5.885e+03,6.414e+03,2.581e+04,3.811e+04
67.8,6.380e+03,6.141e+03,2.218e+04,3.471e+04
69.3,6.454e+03,5.760e+03,2.579e+04,3.800e+04
70.9,6.181e+03,5.201e+03,2.550e+04,3.688e+04
72.4,4.981e+03,4.697e+03,2.287e+04,3.255e+04
73.9,3.552e+03,4.543e+03,1.875e+04,2.685e+04
75.4,2.497e+03,4.508e+03,1.329e+04,2.030e+04
76.9,1.787e+03,4.475e+03,9.836e+03,1.610e+04
78.4,1.346e+03,4.337e+03,8.190e+03,1.387e+04
79.9,1.048e+03,4.094e+03,8.027e+03,1.317e+04
81.4,7.770e+02,3.799e+03,8.650e+03,1.323e+04
82.9,5.920e+02,3.520e+03,9.214e+03,1.333e+04
84.4,4.974e+02,3.316e+03,9.798e+03,1.361e+04
85.9,4.480e+02,3.192e+03,1.053e+04,1.417e+04
87.4,4.341e+02,3.105e+03,1.052e+04,1.406e+04
88.9,3.935e+02,3.003e+03,9.563e+03,1.296e+04
90.5,3.629e+02,2.936e+03,8.483e+03,1.178e+04
92.0,3.275e+02,2.828e+03,7.653e+03,1.081e+04
93.5,3.016e+02,2.721e+03,6.971e+03,9.993e+03
95.0,2.112e+02,2.692e+03,6.339e+03,9.242e+03
96.5,1.322e+02,2.631e+03,5.920e+03,8.683e+03
98.0,9.044e+01,2.579e+03,5.432e+03,8.101e+03
99.5,8.876e+01,2.569e+03,4.998e+03,7.656e+03
101.0,1.343e+02,2.583e+03,4.535e+03,7.253e+03
102.5,2.608e+02,2.645e+03,3.958e+03,6.864e+03
104.0,3.965e+02,2.609e+03,3.426e+03,6.431e+03
105.5,4.446e+02,2.564e+03,3.115e+03,6.123e+03
107.0,3.899e+02,2.496e+03,3.005e+03,5.891e+03
108.5,3.222e+02,2.419e+03,2.910e+03,5.651e+03
110.1,2.806e+02,2.426e+03,2.834e+03,5.540e+03
111.6,2.906e+02,2.488e+03,2.507e+03,5.285e+03
113.1,3.023e+02,2.584e+03,2.048e+03,4.934e+03
114.6,2.997e+02,2.616e+03,1.843e+03,4.759e+03
116.1,3.009e+02,2.494e+03,1.698e+03,4.493e+03
117.6,2.886e+02,2.492e+03,1.611e+03,4.392e+03
119.1,2.275e+02,2.497e+03,1.483e+03,4.208e+03
120.6,2.146e+02,2.602e+03,1.396e+03,4.212e+03
122.1,2.824e+02,2.605e+03,1.415e+03,4.302e+03
123.6,3.358e+02,2.527e+03,1.460e+03,4.322e+03
125.1,3.783e+02,2.442e+03,1.422e+03,4.243e+03
126.6,3.654e+02,2.420e+03,1.417e+03,4.203e+03
128.1,3.359e+02,2.381e+03,1.376e+03,4.092e+03
129.7,3.311e+02,2.318e+03,1.351e+03,4.000e+03
131.2,3.093e+02,2.190e+03,1.281e+03,3.780e+03
132.7,2.034e+02,1.296e+03,7.983e+02,2.297e+03
134.2,8.223e+01,2.020e+02,1.532e+02,4.374e+02
135.7,6.626e+01,7.560e+01,7.437e+01,2.162e+02
137.2,5.733e+01,7.408e+01,8.043e+01,2.118e+02
138.7,5.907e+01,7.445e+01,8.583e+01,2.194e+02
140.2,6.649e+01,8.155e+01,9.518e+01,2.432e+02
141.7,6.440e+01,8.821e+01,1.051e+02,2.577e+02
143.2,6.055e+01,8.874e+01,1.136e+02,2.629e+02
144.7,6.098e+01,8.413e+01,1.078e+02,2.529e+02
146.2,6.248e+01,8.417e+01,1.031e+02,2.497e+02
147.7,6.397e+01,8.037e+01,9.233e+01,2.367e+02
149.2,7.363e+01,8.868e+01,9.478e+01,2.571e+02
150.8,6.865e+01,9.346e+01,9.430e+01,2.564e+02
152.3,6.623e+01,9.131e+01,9.649e+01,2.540e+02
153.8,6.408e+01,7.302e+01,9.978e+01,2.369e+02
155.3,5.652e+01,5.730e+01,9.059e+01,2.044e+02
156.8,4.468e+01,5.874e+01,8.866e+01,1.921e+02
158.3,5.077e+01,7.236e+01,1.026e+02,2.257e+02
159.8,4.605e+01,6.880e+01,9.881e+01,2.137e+02
161.3,3.539e+01,5.317e+01,8.408e+01,1.726e+02
162.8,3.668e+01,4.721e+01,6.943e+01,1.533e+02
164.3,3.689e+01,4.523e+01,5.722e+01,1.393e+02
165.8,3.323e+01,4.709e+01,6.444e+01,1.448e+02
167.3,2.531e+01,5.049e+01,5.785e+01,1.337e+02
168.8,2.779e+01,5.253e+01,5.589e+01,1.362e+02
170.4,2.756e+01,5.437e+01,5.785e+01,1.398e+02
171.9,2.955e+01,5.781e+01,6.749e+01,1.548e+02
173.4,3.147e+01,6.149e+01,7.497e+01,1.679e+02
174.9,3.078e+01,6.538e+01,7.269e+01,1.688e+02
176.4,2.840e+01,5.705e+01,6.403e+01,1.495e+02
177.9,2.923e+01,5.153e+01,6.315e+01,1.439e+02
179.4,3.258e+01,5.052e+01,6.390e+01,1.470e+02
180.9,3.482e+01,5.350e+01,6.882e+01,1.571e+02
182.4,3.441e+01,5.935e+01,6.746e+01,1.612e+02
183.9,3.640e+01,6.283e+01,6.624e+01,1.655e+02
185.4,3.289e+01,6.142e+01,7.412e+01,1.684e+02
186.9,3.805e+01,7.144e+01,8.105e+01,1.905e+02
