freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.860e+00,2.887e+02,5.179e+01,3.503e+02
1.5,2.406e+01,1.805e+02,5.997e+01,2.645e+02
3.0,2.338e+01,3.574e+01,3.932e+01,9.844e+01
4.5,2.405e+01,3.034e+02,4.069e+01,3.681e+02
6.0,2.401e+01,1.218e+03,4.228e+01,1.284e+03
7.5,2.511e+01,2.201e+03,4.904e+01,2.275e+03
9.0,3.153e+01,3.568e+03,6.464e+01,3.664e+03
10.5,3.629e+01,5.501e+03,9.453e+01,5.632e+03
12.1,4.772e+01,8.363e+03,2.060e+02,8.617e+03
13.6,7.105e+01,1.062e+04,3.680e+02,1.106e+04
15.1,9.430e+01,1.301e+04,3.025e+02,1.340e+04
16.6,1.277e+02,1.988e+04,1.934e+02,2.020e+04
18.1,1.862e+02,2.775e+04,1.328e+02,2.807e+04
19.6,2.058e+02,3.037e+04,1.131e+02,3.069e+04
21.1,1.243e+02,4.372e+04,1.443e+02,4.399e+04
22.6,1.021e+02,8.475e+04,2.398e+02,8.510e+04
24.1,3.197e+02,1.563e+05,2.553e+03,1.592e+05
25.6,7.147e+02,1.994e+05,1.098e+04,2.111e+05
27.1,1.282e+03,1.887e+05,1.309e+04,2.030e+05
28.6,2.708e+03,2.346e+05,7.089e+03,2.444e+05
30.1,5.392e+03,3.457e+05,2.425e+03,3.535e+05
31.6,7.430e+03,3.943e+05,3.766e+03,4.055e+05
33.2,7.663e+03,3.597e+05,9.464e+03,3.768e+05
34.7,6.883e+03,2.924e+05,1.527e+04,3.146e+05
36.2,5.652e+03,2.287e+05,2.201e+04,2.563e+05
37.7,4.285e+03,1.755e+05,2.462e+04,2.044e+05
39.2,3.317e+03,1.358e+05,2.519e+04,1.643e+05
40.7,2.748e+03,1.082e+05,2.800e+04,1.389e+05
42.2,2.431e+03,8.815e+04,3.123e+04,1.218e+05
43.7,2.018e+03,7.151e+04,3.461e+04,1.081e+05
45.2,1.551e+03,5.807e+04,3.828e+04,9.791e+04
46.7,1.108e+03,4.826e+04,4.050e+04,8.987e+04
48.2,1.100e+03,4.241e+04,5.072e+04,9.423e+04
49.7,1.489e+03,3.756e+04,7.811e+04,1.172e+05
51.2,1.395e+03,3.377e+04,1.072e+05,1.424e+05
52.7,6.420e+02,3.215e+04,1.043e+05,1.371e+05
54.3,4.168e+02,2.995e+04,7.700e+04,1.074e+05
55.8,4.889e+02,2.730e+04,5.251e+04,8.029e+04
57.3,5.500e+02,2.523e+04,3.831e+04,6.409e+04
58.8,1.220e+03,2.327e+04,3.552e+04,6.001e+04
60.3,2.131e+03,2.107e+04,3.319e+04,5.639e+04
61.8,2.023e+03,1.930e+04,3.015e+04,5.147e+04
63.3,1.782e+03,1.764e+04,4.042e+04,5.984e+04
64.8,2.775e+03,1.481e+04,4.944e+04,6.702e+04
66.3,4.511e+03,1.237e+04,4.230e+04,5.919e+04
67.8,6.307e+03,1.110e+04,3.740e+04,5.481e+04
69.3,8.362e+03,9.564e+03,4.597e+04,6.389e+04
70.8,9.920e+03,8.199e+03,4.780e+04,6.591e+04
72.3,9.587e+03,7.885e+03,3.972e+04,5.719e+04
73.8,7.609e+03,7.893e+03,3.138e+04,4.688e+04
75.4,5.616e+03,7.756e+03,2.557e+04,3.894e+04
76.9,4.123e+03,7.646e+03,1.979e+04,3.156e+04
78.4,2.983e+03,7.547e+03,1.542e+04,2.595e+04
79.9,2.329e+03,7.097e+03,1.499e+04,2.442e+04
81.4,1.814e+03,6.485e+03,1.686e+04,2.516e+04
82.9,1.490e+03,5.910e+03,1.860e+04,2.600e+04
84.4,1.317e+03,5.628e+03,1.947e+04,2.641e+04
85.9,1.119e+03,5.425e+03,2.014e+04,2.668e+04
87.4,9.776e+02,5.228e+03,1.934e+04,2.554e+04
88.9,8.190e+02,5.186e+03,1.764e+04,2.364e+04
90.4,6.763e+02,4.992e+03,1.534e+04,2.101e+04
91.9,6.141e+02,4.841e+03,1.356e+04,1.901e+04
93.4,5.313e+02,4.652e+03,1.228e+04,1.746e+04
94.9,3.980e+02,4.572e+03,1.085e+04,1.582e+04
96.5,2.582e+02,4.478e+03,9.707e+03,1.444e+04
98.0,1.498e+02,4.342e+03,8.806e+03,1.330e+04
99.5,9.171e+01,4.329e+03,8.070e+03,1.249e+04
101.0,1.080e+02,4.339e+03,7.045e+03,1.149e+04
102.5,1.903e+02,4.379e+03,6.106e+03,1.067e+04
104.0,3.003e+02,4.306e+03,5.377e+03,9.983e+03
105.5,3.466e+02,4.203e+03,5.291e+03,9.840e+03
