freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.456e+01,4.279e+02,6.730e+01,5.098e+02
1.5,3.887e+01,2.711e+02,9.461e+01,4.045e+02
3.0,3.840e+01,5.208e+01,6.992e+01,1.604e+02
4.5,3.998e+01,3.060e+02,7.148e+01,4.175e+02
6.0,4.323e+01,1.178e+03,6.815e+01,1.290e+03
7.5,4.305e+01,2.082e+03,7.074e+01,2.195e+03
9.0,4.735e+01,3.174e+03,7.149e+01,3.293e+03
10.5,4.424e+01,4.629e+03,7.444e+01,4.748e+03
12.1,4.869e+01,6.774e+03,1.161e+02,6.939e+03
13.6,6.393e+01,8.790e+03,1.967e+02,9.050e+03
15.1,7.191e+01,1.056e+04,1.844e+02,1.081e+04
16.6,7.395e+01,1.440e+04,1.354e+02,1.461e+04
18.1,7.526e+01,1.985e+04,1.056e+02,2.003e+04
19.6,9.118e+01,2.309e+04,9.348e+01,2.327e+04
21.1,7.438e+01,2.710e+04,8.825e+01,2.726e+04
22.6,5.953e+01,3.855e+04,1.096e+02,3.872e+04
24.1,1.066e+02,5.817e+04,1.683e+02,5.845e+04
25.6,2.116e+02,8.541e+04,9.897e+02,8.661e+04
27.1,3.442e+02,1.084e+05,3.926e+03,1.126e+05
28.6,4.367e+02,1.123e+05,5.097e+03,1.179e+05
30.1,5.322e+02,1.291e+05,2.804e+03,1.325e+05
31.6,8.552e+02,2.016e+05,8.052e+02,2.032e+05
33.1,2.487e+03,4.065e+05,1.812e+03,4.108e+05
34.6,7.929e+03,8.823e+05,1.430e+04,9.045e+05
36.2,1.269e+04,1.138e+06,3.684e+04,1.187e+06
37.7,1.285e+04,1.013e+06,4.604e+04,1.072e+06
39.2,1.210e+04,8.778e+05,5.117e+04,9.411e+05
40.7,1.050e+04,7.090e+05,5.351e+04,7.730e+05
42.2,8.621e+03,5.246e+05,5.154e+04,5.848e+05
43.7,6.938e+03,3.859e+05,4.948e+04,4.423e+05
45.2,5.249e+03,2.862e+05,4.528e+04,3.367e+05
46.7,3.688e+03,2.208e+05,3.970e+04,2.642e+05
48.2,3.201e+03,1.811e+05,4.312e+04,2.274e+05
49.7,2.991e+03,1.480e+05,5.591e+04,2.069e+05
51.2,2.444e+03,1.253e+05,6.868e+04,1.965e+05
52.7,1.756e+03,1.154e+05,6.465e+04,1.819e+05
54.2,1.335e+03,1.057e+05,4.620e+04,1.532e+05
55.7,1.290e+03,9.308e+04,3.713e+04,1.315e+05
57.2,1.315e+03,8.136e+04,4.918e+04,1.319e+05
58.8,1.114e+03,7.260e+04,6.477e+04,1.385e+05
60.3,7.436e+02,6.591e+04,3.570e+04,1.023e+05
61.8,7.750e+02,5.925e+04,1.207e+04,7.209e+04
63.3,9.937e+02,5.426e+04,1.168e+04,6.694e+04
64.8,1.058e+03,4.925e+04,1.574e+04,6.605e+04
66.3,8.583e+02,4.438e+04,1.774e+04,6.299e+04
67.8,1.544e+03,4.181e+04,2.823e+04,7.158e+04
69.3,4.440e+03,4.495e+04,7.094e+04,1.203e+05
70.8,8.526e+03,4.830e+04,1.844e+05,2.413e+05
72.3,1.298e+04,4.057e+04,2.587e+05,3.122e+05
73.8,1.341e+04,3.035e+04,1.818e+05,2.256e+05
75.3,1.216e+04,2.538e+04,1.020e+05,1.396e+05
76.8,1.174e+04,2.262e+04,6.824e+04,1.026e+05
78.3,1.161e+04,2.056e+04,5.933e+04,9.150e+04
79.8,1.078e+04,1.857e+04,6.667e+04,9.602e+04
81.3,1.063e+04,1.594e+04,9.171e+04,1.183e+05
82.9,1.206e+04,1.276e+04,1.083e+05,1.331e+05
84.4,1.591e+04,1.078e+04,1.035e+05,1.302e+05
85.9,1.933e+04,9.995e+03,9.033e+04,1.196e+05
87.4,1.997e+04,9.904e+03,7.451e+04,1.044e+05
88.9,1.799e+04,9.963e+03,6.151e+04,8.947e+04
90.4,1.470e+04,9.742e+03,5.172e+04,7.616e+04
91.9,1.126e+04,9.326e+03,4.545e+04,6.603e+04
93.4,8.392e+03,8.894e+03,4.113e+04,5.841e+04
94.9,6.280e+03,8.260e+03,3.757e+04,5.211e+04
96.4,4.368e+03,7.958e+03,3.531e+04,4.763e+04
97.9,2.087e+03,7.732e+03,3.386e+04,4.368e+04
99.4,7.168e+02,7.451e+03,3.328e+04,4.145e+04
100.9,1.276e+03,7.206e+03,3.156e+04,4.004e+04
102.4,1.887e+03,7.157e+03,2.938e+04,3.842e+04
103.9,2.088e+03,6.895e+03,3.167e+04,4.066e+04
105.5,1.880e+03,9.112e+03,3.413e+04,4.512e+04
107.0,1.142e+03,1.490e+04,1.800e+04,3.404e+04
108.5,9.219e+02,1.762e+04,6.943e+03,2.548e+04
110.0,1.616e+03,1.708e+04,5.343e+03,2.404e+04
111.5,1.953e+03,1.713e+04,2.165e+03,2.125e+04
113.0,1.592e+03,1.548e+04,1.110e+03,1.818e+04
114.5,1.301e+03,1.392e+04,1.431e+03,1.665e+04
116.0,1.117e+03,1.222e+04,1.798e+03,1.513e+04
117.5,1.017e+03,1.120e+04,2.220e+03,1.443e+04
119.0,9.275e+02,1.068e+04,2.419e+03,1.403e+04
120.5,6.795e+02,1.060e+04,2.663e+03,1.394e+04
