freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.419e+03,6.273e+01,9.312e+02,3.413e+03
1.3,1.158e+04,3.025e+02,4.133e+03,1.602e+04
2.6,1.421e+04,3.838e+02,4.855e+03,1.945e+04
3.9,1.362e+04,4.051e+02,4.918e+03,1.894e+04
5.2,1.365e+04,3.779e+02,4.733e+03,1.876e+04
6.5,1.380e+04,3.719e+02,4.603e+03,1.878e+04
7.8,1.546e+04,4.021e+02,5.099e+03,2.096e+04
9.1,1.701e+04,4.380e+02,5.705e+03,2.315e+04
10.4,1.790e+04,4.033e+02,5.506e+03,2.381e+04
11.7,2.161e+04,4.188e+02,6.395e+03,2.842e+04
13.0,2.554e+04,4.326e+02,7.424e+03,3.340e+04
14.3,2.456e+04,4.159e+02,7.211e+03,3.219e+04
15.6,2.282e+04,3.977e+02,5.953e+03,2.917e+04
16.9,2.608e+04,4.172e+02,6.356e+03,3.286e+04
18.2,2.943e+04,4.888e+02,6.680e+03,3.660e+04
19.5,3.150e+04,4.892e+02,7.122e+03,3.911e+04
20.9,3.399e+04,4.799e+02,7.569e+03,4.203e+04
22.2,3.720e+04,5.076e+02,7.366e+03,4.507e+04
23.5,3.848e+04,5.475e+02,8.133e+03,4.716e+04
24.8,3.606e+04,5.203e+02,6.890e+03,4.347e+04
26.1,3.647e+04,5.260e+02,7.061e+03,4.405e+04
27.4,4.030e+04,6.108e+02,7.171e+03,4.809e+04
28.7,4.134e+04,6.643e+02,6.884e+03,4.889e+04
30.0,4.593e+04,7.523e+02,7.668e+03,5.435e+04
31.3,5.320e+04,9.781e+02,8.634e+03,6.281e+04
32.6,5.816e+04,1.189e+03,1.067e+04,7.002e+04
33.9,5.860e+04,1.438e+03,1.756e+04,7.760e+04
35.2,4.678e+04,1.367e+03,2.092e+04,6.906e+04
36.5,4.433e+04,1.125e+03,1.688e+04,6.234e+04
37.8,4.842e+04,9.867e+02,1.412e+04,6.352e+04
39.1,5.297e+04,1.051e+03,1.591e+04,6.993e+04
40.4,5.347e+04,1.171e+03,1.828e+04,7.292e+04
41.7,5.291e+04,1.372e+03,2.579e+04,8.007e+04
43.0,6.299e+04,1.846e+03,4.666e+04,1.115e+05
44.3,7.274e+04,2.058e+03,5.800e+04,1.328e+05
45.6,7.933e+04,2.086e+03,6.252e+04,1.439e+05
46.9,9.045e+04,1.747e+03,5.974e+04,1.519e+05
48.2,8.865e+04,1.337e+03,4.153e+04,1.315e+05
49.5,1.140e+05,1.357e+03,3.816e+04,1.535e+05
50.8,1.307e+05,1.331e+03,3.485e+04,1.669e+05
52.1,1.481e+05,1.291e+03,3.366e+04,1.830e+05
53.4,1.861e+05,1.260e+03,3.703e+04,2.244e+05
54.7,2.674e+05,1.351e+03,4.779e+04,3.165e+05
56.0,4.086e+05,1.632e+03,8.299e+04,4.932e+05
57.3,4.543e+05,1.962e+03,1.149e+05,5.711e+05
58.6,3.915e+05,2.328e+03,1.336e+05,5.274e+05
59.9,3.296e+05,2.921e+03,1.583e+05,4.908e+05
61.2,2.243e+05,2.990e+03,1.411e+05,3.684e+05
62.6,1.349e+05,2.580e+03,9.547e+04,2.330e+05
63.9,1.170e+05,2.981e+03,8.068e+04,2.007e+05
65.2,1.287e+05,3.958e+03,9.276e+04,2.254e+05
66.5,1.538e+05,5.111e+03,1.107e+05,2.697e+05
67.8,2.092e+05,5.613e+03,1.172e+05,3.320e+05
69.1,2.065e+05,4.786e+03,9.199e+04,3.032e+05
