freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.968e+00,1.362e+01,8.797e+01,1.036e+02
1.5,8.367e+00,2.057e+01,5.546e+01,8.440e+01
3.0,9.913e+00,1.506e+01,1.540e+01,4.037e+01
4.5,1.015e+01,1.574e+01,3.096e+02,3.355e+02
6.0,1.508e+01,1.670e+01,1.365e+03,1.397e+03
7.5,2.531e+01,1.713e+01,1.809e+03,1.852e+03
9.0,2.459e+01,1.570e+01,2.699e+03,2.740e+03
10.5,3.259e+01,1.592e+01,5.138e+03,5.187e+03
12.0,3.969e+01,1.892e+01,7.525e+03,7.584e+03
13.4,3.192e+01,2.179e+01,9.276e+03,9.330e+03
14.9,2.509e+01,2.489e+01,1.369e+04,1.374e+04
16.4,2.017e+01,4.588e+01,1.956e+04,1.963e+04
17.9,1.689e+01,1.495e+02,2.441e+04,2.458e+04
19.4,3.289e+01,4.149e+02,2.806e+04,2.851e+04
20.9,4.737e+01,9.265e+02,3.185e+04,3.283e+04
22.4,2.164e+01,1.698e+03,3.691e+04,3.863e+04
23.9,2.576e+01,3.220e+03,4.370e+04,4.695e+04
25.4,2.938e+01,4.605e+03,4.247e+04,4.711e+04
26.9,5.766e+01,5.307e+03,3.784e+04,4.320e+04
28.4,1.177e+02,4.402e+03,2.722e+04,3.174e+04
29.9,1.324e+02,3.146e+03,1.536e+04,1.864e+04
31.4,1.136e+02,2.979e+03,1.215e+04,1.524e+04
32.9,9.125e+01,3.074e+03,1.340e+04,1.656e+04
34.4,8.202e+01,5.359e+03,1.716e+04,2.260e+04
35.9,1.127e+02,9.534e+03,1.720e+04,2.685e+04
37.4,1.526e+02,1.335e+04,1.367e+04,2.717e+04
38.9,2.389e+02,1.741e+04,8.750e+03,2.640e+04
40.3,4.039e+02,1.725e+04,3.965e+03,2.162e+04
41.8,5.457e+02,1.532e+04,2.195e+03,1.806e+04
43.3,5.442e+02,1.422e+04,2.206e+03,1.697e+04
44.8,4.200e+02,1.171e+04,3.086e+03,1.522e+04
46.3,5.391e+02,8.059e+03,3.599e+03,1.220e+04
47.8,8.595e+02,7.543e+03,3.076e+03,1.148e+04
49.3,8.255e+02,7.892e+03,2.830e+03,1.155e+04
50.8,4.912e+02,5.687e+03,2.832e+03,9.009e+03
52.3,2.805e+02,3.733e+03,2.725e+03,6.739e+03
53.8,2.173e+02,2.704e+03,2.630e+03,5.552e+03
